entry_idx,entry_time,entry_price,exit_idx,exit_time,exit_price,side,entry_prob,position_size_pct,hold_time,exit_reason,pnl_pct,balance_before,balance_after
26200,2025-10-13 13:40:00,114891.3,26202,2025-10-13 13:50:00,114993.5,LONG,0.92916876,0.6550349,2,ml_exit,-0.00028942990192336066,2.495577427925149,2.4948551331949425
26201,2025-10-13 13:45:00,114737.3,26202,2025-10-13 13:50:00,114993.5,LONG,0.76965195,0.2165295,1,ml_exit,0.001067860170660283,2.4948551331949425,2.4975192896232485
26202,2025-10-13 13:50:00,114993.5,26203,2025-10-13 13:55:00,115298.3,LONG,0.96472466,0.79699975,1,ml_exit,0.005262062065315943,2.4975192896232485,2.51066139113457
26204,2025-10-13 14:00:00,115319.6,26209,2025-10-13 14:25:00,114260.0,LONG,0.8991102,0.54547155,5,stop_loss,-0.02222987988867635,2.51066139113457,2.4548496899685115
26226,2025-10-13 15:50:00,114296.2,26228,2025-10-13 16:00:00,114544.4,LONG,0.98264647,0.87328035,2,ml_exit,0.00409236901480241,2.4548496899685115,2.464895840775736
26229,2025-10-13 16:05:00,114903.5,26251,2025-10-13 17:55:00,115006.8,LONG,0.9650021,0.7981572,22,ml_exit,-0.00032240679337440986,2.464895840775736,2.4641011416117093
26230,2025-10-13 16:10:00,114848.4,26251,2025-10-13 17:55:00,115006.8,LONG,0.9843619,0.8807407,21,ml_exit,0.0013359408320485692,2.4641011416117093,2.467393034941086
26231,2025-10-13 16:15:00,114775.6,26251,2025-10-13 17:55:00,115006.8,LONG,0.96976143,0.81812805,20,ml_exit,0.0033195232182273047,2.467393034941086,2.4755836034090652
26232,2025-10-13 16:20:00,114589.5,26251,2025-10-13 17:55:00,115006.8,LONG,0.95636964,0.76249665,19,ml_exit,0.008057134108661258,2.4755836034090652,2.495529712498935
26238,2025-10-13 16:50:00,114497.6,26251,2025-10-13 17:55:00,115006.8,LONG,0.95337725,0.75030667,13,ml_exit,0.010345992990794136,2.495529712498935,2.5213484454127673
26241,2025-10-13 17:05:00,114538.2,26251,2025-10-13 17:55:00,115006.8,LONG,0.97244644,0.8294909,10,ml_exit,0.010256527207575167,2.5213484454127673,2.5472087243429207
26251,2025-10-13 17:55:00,115006.8,26256,2025-10-13 18:20:00,115229.9,LONG,0.9827542,0.87374794,5,ml_exit,0.003284891375128785,2.5472087243429207,2.5555760283121676
26252,2025-10-13 18:00:00,114806.3,26256,2025-10-13 18:20:00,115229.9,LONG,0.97239536,0.82927406,4,ml_exit,0.008921970476861586,2.5555760283121676,2.578376802188144
26256,2025-10-13 18:20:00,115229.9,26260,2025-10-13 18:40:00,115149.6,LONG,0.9796022,0.86010855,4,ml_exit,-0.005837961835384079,2.578376802188144,2.56332433681973
