entry_time,exit_time,side,entry_price,exit_price,position_size_pct,pnl_pct,pnl_usd,exit_reason,hold_time
2025-07-23 01:20:00,2025-07-23 01:25:00,SHORT,119633.2,119552.1,0.95,0.2711621857477398,87.31263940000235,ML_EXIT,1
2025-07-23 01:25:00,2025-07-23 01:30:00,SHORT,119552.1,119679.3,0.95,-0.42558850911024426,-137.3900261362318,ML_EXIT,1
2025-07-23 01:30:00,2025-07-23 01:35:00,SHORT,119679.3,119584.9,0.95,0.3155098667856805,101.44223442769193,ML_EXIT,1
2025-07-23 01:35:00,2025-07-23 01:40:00,SHORT,119584.9,119629.1,0.8208824396133423,-0.1478447529747038,-41.197315766661674,ML_EXIT,1
2025-07-23 01:40:00,2025-07-23 01:45:00,SHORT,119629.1,119571.3,0.8527546525001526,0.19326401352180334,55.876569774736495,ML_EXIT,1
2025-07-23 01:45:00,2025-07-23 01:50:00,SHORT,119571.3,119600.1,0.7276068329811096,-0.09634418961741792,-23.806310844275956,ML_EXIT,1
2025-07-23 01:50:00,2025-07-23 01:55:00,SHORT,119600.1,119556.3,0.9060606360435486,0.14648817183264198,45.04276835803898,ML_EXIT,1
2025-07-23 01:55:00,2025-07-23 02:00:00,SHORT,119556.3,119297.7,0.6999027132987976,0.8651990735745614,205.7761418425602,ML_EXIT,1
2025-07-23 13:05:00,2025-07-23 14:55:00,LONG,118101.1,118211.4,0.4532407522201538,0.37357823085471126,57.88603090195102,ML_EXIT,22
2025-07-23 15:10:00,2025-07-23 15:35:00,LONG,117827.3,118180.0,0.95,1.1973456066633015,389.53018672437486,ML_EXIT,5
2025-07-23 16:10:00,2025-07-23 18:00:00,LONG,117903.4,118232.4,0.95,1.1161679815849246,367.2512438082851,ML_EXIT,22
2025-07-23 20:25:00,2025-07-23 22:05:00,LONG,118034.3,118263.5,0.6342297196388245,0.776723376171154,172.4264607156652,ML_EXIT,20
2025-07-23 22:25:00,2025-07-24 04:00:00,SHORT,118602.7,118475.1,0.5235000848770142,0.4303443344881399,79.24246358206894,ML_EXIT,67
2025-07-24 04:00:00,2025-07-24 04:05:00,SHORT,118475.1,118399.0,0.7391791939735413,0.2569316252951238,66.95295076464096,ML_EXIT,1
